agent_id,best_val_bpb,first_val_bpb,improvement,total_runs,successful_runs,failed,failure_reason,total_turns
agent_0,0.810722,0.810722,0.0,3,3,False,,22
agent_1,0.851939,0.900097,-0.048158000000000034,8,8,False,,14
