agent_id,best_val_bpb,first_val_bpb,improvement,total_runs,successful_runs,failed,failure_reason,total_turns
agent_0,0.82375,0.82375,0.0,2,2,False,,11
agent_1,0.871647,0.871647,0.0,3,3,False,,5
