agent_id,best_val_bpb,first_val_bpb,improvement,total_runs,successful_runs,failed,failure_reason,total_turns
agent_0,0.8384,0.8384,0.0,9,9,False,,14
agent_1,0.836845,0.836845,0.0,9,9,False,,16
