agent_id,best_val_bpb,first_val_bpb,improvement,total_runs,successful_runs,failed,failure_reason,total_turns
agent_0,0.796169,0.796169,0.0,5,5,False,,17
agent_1,0.858086,0.858086,0.0,9,9,False,,12
