agent_id,best_val_bpb,first_val_bpb,improvement,total_runs,successful_runs,failed,failure_reason,total_turns
agent_0,0.844854,0.844854,0.0,4,4,False,,18
agent_1,0.801203,0.885377,-0.08417399999999997,5,5,False,,19
