agent_id,best_val_bpb,first_val_bpb,improvement,total_runs,successful_runs,failed,failure_reason,total_turns
agent_0,0.839011,0.916976,-0.07796500000000006,2,2,False,,11
agent_1,0.830162,0.934241,-0.10407900000000003,3,3,False,,5
